Name,Level,NE_LAT,NE_LNG,SW_LAT,SW_LNG,LAT,LNG
"Udainagar, jodhpur",VILLAGE,26.9483753,72.56649449999999,26.9288733,72.543685,26.9400677,72.55301709999999
"Baori Khurd, jodhpur",VILLAGE,27.20556,72.2582099,27.1787501,72.21269,27.1900151,72.23933989999999
"Shimala, jodhpur",VILLAGE,27.0884732,72.1526241,27.069253,72.1304799,27.0802351,72.13865129999999
"Chandra Nagar, jodhpur",VILLAGE,27.0321,72.67097,26.9832301,72.6380501,27.0097861,72.65355199999999
"Godarli, jodhpur",VILLAGE,27.1915865,72.4175834,27.1876166,72.4123479,27.1892686,72.4147184
"Siwandi, jodhpur",VILLAGE,27.3014999,72.48393,27.2489599,72.43605,27.2720093,72.45540199999999
"Jor, jodhpur",VILLAGE,27.2385478,72.3431896,27.2324234,72.3349285,27.2355865,72.3385128
"Malar, jodhpur",VILLAGE,26.484575,73.48297819999999,26.4812523,73.4793519,26.4828546,73.4809963
"Hindal Gol, jodhpur",VILLAGE,27.2586735,72.3319245,27.2419628,72.3066044,27.2519537,72.32223309999999
"Jamba Ki Dhani, jodhpur",VILLAGE,27.38921,72.61903989999999,27.31623,72.56419,27.3569715,72.5855474
"Jamba, jodhpur",VILLAGE,27.3119937,72.52221109999999,27.3062357,72.51513,27.3092412,72.5182643
"Bilhoji Nagar, jodhpur",VILLAGE,26.2373873,72.97453329999999,26.2336357,72.96756669999999,26.2355374,72.9701273
"Charnai, jodhpur",VILLAGE,27.36673,72.5519599,27.26397,72.4561099,27.3072956,72.5086511
"Pabupura, jodhpur",VILLAGE,26.2703849,73.07038899999999,26.2649311,73.063436,26.2681577,73.0656152
"Kalathal, jodhpur",VILLAGE,27.43171,72.68588009999999,27.39645,72.61963999999999,27.411546,72.65650839999999
"Narayanpura, jodhpur",VILLAGE,27.40967,72.70107,27.37032,72.5960001,27.3872837,72.64468289999999
"Kaushal Nagar, jodhpur",VILLAGE,26.2457056,72.9836689,26.2444641,72.9807508,26.245021,72.9824103
"Matol, jodhpur",VILLAGE,27.4465999,72.7208199,27.391,72.6736899,27.4160688,72.6919814
"Chakhu, jodhpur",VILLAGE,27.42567,72.75992190000001,27.3143388,72.69047239999999,27.402762,72.7215385
"Karni Nagar, jodhpur",VILLAGE,26.2255692,73.03037599999999,26.2210217,73.02540549999999,26.2244134,73.02677299999999
"Lumbasar, jodhpur",VILLAGE,27.4748001,72.83080009999999,27.4200699,72.7160299,27.4394613,72.7865518
"Hanuman Sagar, jodhpur",VILLAGE,27.4274799,72.8113599,27.34226,72.74117989999999,27.3860002,72.7688226
"Subhash Nagar, jodhpur",VILLAGE,26.257458,72.99281479999999,26.244715,72.9822411,26.2527804,72.98591619999999
"Khengasar, jodhpur",VILLAGE,27.38247,72.7705801,27.3157601,72.6460701,27.3344752,72.7215385
"Mahadeo Nagar, jodhpur",VILLAGE,26.3139399,73.057772,26.3074479,73.048048,26.3096645,73.0538097
"Chhila Nadi, jodhpur",VILLAGE,27.4011,72.92625989999999,27.3723301,72.8840599,27.3860644,72.9047136
